Rounds	x%	o%	t%
3150	0.980000	0.000000	0.020000
3200	0.940000	0.040000	0.020000
3250	0.980000	0.020000	0.000000
3300	0.980000	0.000000	0.020000
3350	0.900000	0.000000	0.100000
3400	1.000000	0.000000	0.000000
3450	0.980000	0.020000	0.000000
3500	0.980000	0.000000	0.020000
3550	0.940000	0.020000	0.040000
3600	0.980000	0.000000	0.020000
3650	0.920000	0.000000	0.080000
3700	1.000000	0.000000	0.000000
3750	0.960000	0.000000	0.040000
3800	0.920000	0.080000	0.000000
3850	0.980000	0.020000	0.000000
3900	0.980000	0.000000	0.020000
3950	0.980000	0.000000	0.020000
4000	0.980000	0.020000	0.000000
4050	0.980000	0.020000	0.000000
4100	0.980000	0.000000	0.020000
4150	1.000000	0.000000	0.000000
4200	1.000000	0.000000	0.000000
4250	0.980000	0.000000	0.020000
4300	1.000000	0.000000	0.000000
4350	0.980000	0.020000	0.000000
4400	1.000000	0.000000	0.000000
4450	1.000000	0.000000	0.000000
4500	1.000000	0.000000	0.000000
4550	1.000000	0.000000	0.000000
4600	0.980000	0.000000	0.020000
4650	1.000000	0.000000	0.000000
4700	0.980000	0.020000	0.000000
4750	0.980000	0.020000	0.000000
4800	1.000000	0.000000	0.000000
4850	1.000000	0.000000	0.000000
4900	1.000000	0.000000	0.000000
4950	1.000000	0.000000	0.000000
5000	1.000000	0.000000	0.000000
5050	1.000000	0.000000	0.000000
5100	0.980000	0.020000	0.000000
5150	1.000000	0.000000	0.000000
5200	1.000000	0.000000	0.000000
5250	1.000000	0.000000	0.000000
5300	0.980000	0.000000	0.020000
5350	1.000000	0.000000	0.000000
5400	1.000000	0.000000	0.000000
5450	1.000000	0.000000	0.000000
5500	1.000000	0.000000	0.000000
5550	0.980000	0.020000	0.000000
5600	1.000000	0.000000	0.000000
5650	1.000000	0.000000	0.000000
5700	0.980000	0.020000	0.000000
5750	1.000000	0.000000	0.000000
5800	1.000000	0.000000	0.000000
5850	1.000000	0.000000	0.000000
5900	1.000000	0.000000	0.000000
5950	1.000000	0.000000	0.000000
6000	1.000000	0.000000	0.000000
6050	1.000000	0.000000	0.000000
6100	1.000000	0.000000	0.000000
6150	1.000000	0.000000	0.000000
6200	1.000000	0.000000	0.000000
6250	1.000000	0.000000	0.000000
6300	0.980000	0.020000	0.000000
6350	1.000000	0.000000	0.000000
6400	1.000000	0.000000	0.000000
6450	1.000000	0.000000	0.000000
6500	1.000000	0.000000	0.000000
6550	1.000000	0.000000	0.000000
6600	1.000000	0.000000	0.000000
6650	1.000000	0.000000	0.000000
6700	1.000000	0.000000	0.000000
6750	1.000000	0.000000	0.000000
6800	1.000000	0.000000	0.000000
6850	1.000000	0.000000	0.000000
6900	1.000000	0.000000	0.000000
6950	0.980000	0.000000	0.020000
7000	0.980000	0.020000	0.000000
7050	1.000000	0.000000	0.000000
7100	1.000000	0.000000	0.000000
7150	1.000000	0.000000	0.000000
7200	1.000000	0.000000	0.000000
7250	1.000000	0.000000	0.000000
7300	1.000000	0.000000	0.000000
7350	1.000000	0.000000	0.000000
7400	1.000000	0.000000	0.000000
7450	1.000000	0.000000	0.000000
7500	1.000000	0.000000	0.000000
7550	1.000000	0.000000	0.000000
7600	1.000000	0.000000	0.000000
7650	1.000000	0.000000	0.000000
7700	1.000000	0.000000	0.000000
7750	1.000000	0.000000	0.000000
7800	1.000000	0.000000	0.000000
7850	1.000000	0.000000	0.000000
7900	1.000000	0.000000	0.000000
7950	1.000000	0.000000	0.000000
8000	1.000000	0.000000	0.000000
8050	1.000000	0.000000	0.000000
8100	1.000000	0.000000	0.000000
8150	1.000000	0.000000	0.000000
8200	1.000000	0.000000	0.000000
8250	1.000000	0.000000	0.000000
8300	1.000000	0.000000	0.000000
